id,start_date,end_date,associate_id,entity,department,division,sub_division,position,job,work_location,cost_center,region,level,is_active,updated_on,external_ref_id,org_code,is_org_head,grade,country,base_work_location,work_permit_status,is_mezzanine_member,is_mtm_member
"12877","2016-09-19 00:00:00","2023-02-21 00:00:00","1343","1","1466","3","10","116","2","8","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12878","2016-09-26 00:00:00","2023-05-06 00:00:00","1349","1","1466","2","10","116","47","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12879","2016-10-05 00:00:00","2024-01-04 00:00:00","1362","1","1687","2","11","17","14","8","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21675","1",\N,"4",\N,\N,"0","0"
"12880","2016-11-21 00:00:00","2023-02-21 00:00:00","1379","1","1466","3","10","116","10","8","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12881","2017-01-02 00:00:00","2024-01-04 00:00:00","1409","1","359","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"20359","1",\N,"4",\N,\N,"0","0"
"12882","2017-01-16 00:00:00","2024-01-04 00:00:00","1412","1","1492","2","11","97","12","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"21489","1",\N,"4",\N,\N,"0","0"
"12883","2017-01-30 00:00:00","2023-02-21 00:00:00","1419","1","1466","3","10","75","2","1","CKTXXXPMO",\N,"4","1","2024-07-05 10:52:32",\N,"21465","1",\N,"4",\N,\N,"0","0"
"12884","2007-10-01 00:00:00","2023-03-23 00:00:00","1444","1","6","1","11","27","7","1","CKTXXXOHO",\N,"3","1","2025-04-24 05:52:08",\N,"20006","1",\N,"4",\N,\N,"1","0"
"12885","2017-07-05 00:00:00","2024-01-04 00:00:00","1460","1","349","2","11","97","12","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"20349","1",\N,"4",\N,\N,"0","0"
"12886","2017-08-07 00:00:00","2022-10-19 00:00:00","1471","1","914","3","27","226","15","1","KSXXXXBDM",\N,"7","1","2024-07-05 10:52:32",\N,"20914","0",\N,"4",\N,\N,"0","0"
"12887","2017-08-07 00:00:00","2023-02-21 00:00:00","1475","1","1466","3","10","116","78","3","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12888","2017-08-07 00:00:00","2023-03-05 00:00:00","1476","1","48","1","9","74","17","1","KSXXXXBDM",\N,"3","1","2025-03-31 06:00:43",\N,"21463","1",\N,"4",\N,\N,"0","0"
"12889","2017-08-07 00:00:00","2023-02-21 00:00:00","1480","1","1466","3","10","116","78","7","CKTXXXPMO",\N,"5","1","2024-08-30 16:24:35",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12890","2017-08-07 00:00:00","2023-02-20 00:00:00","1486","1","1414","4","8","156","16","1","CKTXXXTER",\N,"4","1","2024-07-05 10:52:32",\N,"21025","1",\N,"4",\N,\N,"0","0"
